,group,id,runtime,global_step,time/fps
0,v2-minerl100--64-64-render_sbx-ppo,l1c679rc,955,50176,55
1,v2-minerl100--64-64-render_sbx-ppo,u1o1ibt6,955,50176,55
2,v2-minerl100--64-64-render_sbx-ppo,q9d28m7o,963,50176,54
3,v2-minerl100--640-360-render_sbx-ppo,yieboyao,1535,50176,33
4,v2-minerl100--640-360-render_sbx-ppo,osc7nssi,1442,50176,35
5,v2-craftground-raw--640-360-render_sbx-ppo,ptmtkrcl,1015,50176,51
6,v2-craftground-raw--640-360-render_sbx-ppo,ycmh4u8t,1163,50176,44
7,v2-craftground-raw--640-360-render_sbx-ppo,6p6k69k1,1105,50176,47
8,v2-craftground-raw--640-360-render_sbx-ppo,aw8xdn6y,946,50176,55
9,v2-craftground-raw--640-360-render_sbx-ppo,m2e64wa6,947,50176,55
10,v2-craftground-raw--640-360-render_sbx-ppo,f2w3gp82,1117,50176,46
11,v2-craftground-raw--640-360-render_sbx-ppo,p1o6a1mk,1005,50176,51
12,v2-craftground-raw--640-360-render_sbx-ppo,kqchsmeo,1002,50176,52
13,v2-minerl100--64-64-render_sbx-ppo,7rajoldf,973,50176,54
14,v2-minerl100--64-64-render_sbx-ppo,2b8v6m7k,987,50176,52
15,v2-minerl100--64-64-render_sbx-ppo,jhvb4exj,982,50176,53
16,v2-minerl100--640-360-render_sbx-ppo,x0mmhw6l,1469,50176,35
17,v2-minerl100--640-360-render_sbx-ppo,q7x4v579,1494,50176,34
18,v2-minerl100--64-64-render,m4d4vcfv,900,49664,58
19,v2-minerl100--64-64-render,lu7doplv,890,49664,58
20,v2-minerl100--64-64-render_ppo,4ibx01c0,1062,50176,48
21,v2-minerl100--64-64-render_ppo,vilnj5q4,1115,50176,46
22,v2-minerl100--640-360-render,i5ffy276,943,49664,55
23,v2-minerl100--640-360-render,hkhyfo1q,939,49664,55
24,v2-minerl100--640-360-render_ppo,m1888s03,1672,50176,30
25,v2-minerl100--640-360-render_ppo,mkm06bhg,1683,50176,30
26,v2-craftground-raw--64-64-render,2lo95t44,338,49664,165
27,v2-craftground-raw--64-64-render,oit67yvk,299,49664,180
28,v2-craftground-raw--64-64-render,8hcuf802,131,49664,457
29,v2-craftground-raw--64-64-render,32jq78d6,187,49664,299
30,v2-craftground-raw--640-360-render,kptsj2h7,496,49664,106
31,v2-craftground-raw--640-360-render,kh80woqz,552,49664,94
32,v2-craftground-raw--640-360-render,6xg5c1cr,465,49664,113
33,v2-craftground-raw--640-360-render,0jk7257j,640,49664,81
34,v2-craftground-raw--64-64-render_ppo,v63j7q8p,411,50176,129
35,v2-craftground-raw--64-64-render_ppo,gyflcbi0,417,50176,127
36,v2-craftground-raw--64-64-render_ppo,etxrp5i7,453,50176,116
37,v2-craftground-raw--64-64-render_ppo,uepla2i9,550,50176,95
38,v2-craftground-raw--640-360-render_ppo,vdrs565f,915,50176,56
39,v2-craftground-raw--640-360-render_ppo,izi7v8vj,1126,50176,45
40,v2-craftground-raw--640-360-render_ppo,619xhag7,1018,50176,50
41,v2-craftground-raw--640-360-render_ppo,uqwo3aiz,1222,50176,42
42,v2-craftground-raw--64-64-render,vhwqzksa,299,49664,183
43,v2-craftground-raw--64-64-render_ppo,5wfblr76,653,50176,79
44,v2-craftground-raw--64-64-render_ppo,yq9syeqp,389,50176,137
45,v2-craftground-raw--64-64-render_ppo,h7ugt9mt,386,50176,138
46,v2-craftground-raw--64-64-render_ppo,n4r2s4g9,398,50176,134
47,v2-craftground-raw--64-64-render_ppo,mhk35jin,632,50176,82
48,v2-craftground-raw--64-64-render,avdj9p9t,375,49664,141
49,v2-craftground-raw--64-64-render,7upngo79,384,49664,138
50,v2-craftground-raw--64-64-render,vh4uwf3c,348,49664,152
51,v2-craftground-raw--64-64-render,vd25p8iz,321,49664,166
52,v2-craftground-raw--640-360-render_sbx-ppo,bdsyklvw,1108,50176,46
53,v2-craftground-raw--640-360-render_ppo,kqy7x3hd,1008,50176,51
54,v2-craftground-raw--640-360-render_ppo,gj9sv9lo,964,50176,53
55,v2-craftground-raw--640-360-render_ppo,269em34c,945,50176,54
56,v2-craftground-raw--640-360-render_ppo,h8tipqkz,1023,50176,50
57,v2-craftground-raw--640-360-render_ppo,613o5py8,1007,50176,51
58,v2-craftground-raw--640-360-render,degw8dmm,451,49664,117
59,v2-craftground-raw--640-360-render,glytgnv5,490,49664,107
60,v2-craftground-raw--640-360-render,6xdpt49m,468,49664,112
61,v2-craftground-raw--640-360-render,30nhof57,434,49664,121
62,v2-craftground-raw--640-360-render,hzzdrc0r,258,49664,213
63,v2-minerl100--64-64-render,mkrxni98,907,49664,57
64,v2-minerl100--64-64-render,cc9t2b4p,904,49664,58
65,v2-minerl100--64-64-render,1mfnakla,912,49664,57
66,v2-minerl100--64-64-render,hzfnalr3,912,49664,57
67,v2-minerl100--64-64-render,4kfdy8kg,904,49664,57
68,v2-minerl100--64-64-render,0rb04mie,889,49664,59
69,v2-minerl100--64-64-render,8ns46g8q,890,49664,58
70,v2-minerl100--64-64-render_ppo,s56uysbi,1245,50176,41
71,v2-minerl100--64-64-render_ppo,qsi49ci9,1108,50176,46
72,v2-minerl100--64-64-render_ppo,6x5jqqq2,1136,50176,45
73,v2-minerl100--64-64-render_ppo,ur2f5ni3,1207,50176,42
74,v2-minerl100--64-64-render_ppo,qfiekiyt,1155,50176,44
75,v2-minerl100--64-64-render_ppo,4r3gyhqi,1122,50176,46
76,v2-minerl100--64-64-render_ppo,ddquqvhg,1150,50176,44
77,v2-minerl100--64-64-render_sbx-ppo,zpe5s4ko,963,50176,54
78,v2-minerl100--64-64-render_sbx-ppo,owcue70i,963,50176,54
79,v2-minerl100--64-64-render_sbx-ppo,bfawanfi,959,50176,54
80,v2-minerl100--640-360-render,n7aum00r,977,49664,53
81,v2-minerl100--640-360-render,skf6ql95,912,49664,57
82,v2-minerl100--640-360-render,d583pqy1,938,49664,55
83,v2-minerl100--640-360-render,b941xah5,918,49664,57
84,v2-minerl100--640-360-render,z0nzwtyt,1022,49664,50
85,v2-minerl100--640-360-render,icy2h9lw,917,49664,57
86,v2-minerl100--640-360-render,bynigeir,908,49664,58
87,v2-minerl100--640-360-render_ppo,e829xp8l,1712,50176,29
88,v2-minerl100--640-360-render_ppo,soutyd0n,1662,50176,30
89,v2-minerl100--640-360-render_ppo,lrxgry4x,1666,50176,30
90,v2-minerl100--640-360-render_ppo,y8iii7i8,1755,50176,29
91,v2-minerl100--640-360-render_ppo,a2dtlv46,1688,50176,30
92,v2-minerl100--640-360-render_ppo,g2ipoaud,1692,50176,30
93,v2-minerl100--640-360-render_ppo,wqhnyh3g,1654,50176,31
94,v2-minerl100--640-360-render_sbx-ppo,vstjz6rc,1462,50176,35
95,v2-minerl100--640-360-render_sbx-ppo,781qcvuw,1477,50176,34
96,v2-minerl100--640-360-render_sbx-ppo,2w03s1gj,1508,50176,34
97,v2-minerl100--640-360-render_sbx-ppo,dxqm4hqs,1525,50176,33
98,v2-minerl100--640-360-render_sbx-ppo,zkmx0ip7,1641,50176,31
99,v3-craftground-raw--64-64-render_sbx-ppo,h6ugz5iy,391,50176,143
100,v3-craftground-raw--64-64-render_sbx-ppo,idv8p6rc,226,50176,259
101,v3-craftground-raw--64-64-render_sbx-ppo,hq222w37,394,50176,138
102,v3-craftground-raw--64-64-render_sbx-ppo,dybav3zg,415,50176,130
103,v3-craftground-raw--64-64-render_sbx-ppo,ssv1x2o6,458,50176,118
104,v3-craftground-raw--64-64-render_sbx-ppo,l5z1ltwa,469,50176,115
105,v3-craftground-raw--64-64-render_sbx-ppo,3ei1h95i,411,50176,133
106,v3-craftground-raw--64-64-render_sbx-ppo,j0deot9l,477,50176,112
107,v3-craftground-raw--64-64-render_sbx-ppo,uh3i9wh0,483,50176,111
