time,message
15:15:07.075298,Removing orphan Java processes...
15:15:07.130223,Removing orphan Java processes...
15:15:07.171755,Removing orphan Java processes...
15:15:07.214189,Starting server with command: ./gradlew runClient -w --no-daemon
15:15:18.276696,Sent initial environment
15:15:18.276870,Reading response...
15:15:24.310100,Got response with size 1613811
15:15:24.311181,Sending action and commands
15:15:24.311317,Sent action and commands
15:15:24.311336,Sent action and reading response...
15:15:24.311349,Reading response...
15:15:24.447451,Got response with size 1614128
15:15:24.447561,Read observation...
15:15:24.447796,Sending action and commands
15:15:24.447835,Sent action and commands
15:15:24.447847,Sent action and reading response...
15:15:24.447857,Reading response...
15:15:24.478884,Got response with size 1613811
15:15:24.479263,Read observation...
15:15:24.479791,Sending action and commands
15:15:24.479857,Sent action and commands
15:15:24.479902,Sent action and reading response...
15:15:24.479939,Reading response...
15:15:24.508644,Got response with size 1613811
15:15:24.508749,Read observation...
15:15:24.509047,Sending action and commands
15:15:24.509095,Sent action and commands
15:15:24.509108,Sent action and reading response...
15:15:24.509120,Reading response...
15:15:24.538253,Got response with size 1613811
15:15:24.538333,Read observation...
15:15:24.538489,Sending action and commands
15:15:24.538520,Sent action and commands
15:15:24.538530,Sent action and reading response...
15:15:24.538539,Reading response...
15:15:24.565426,Got response with size 1613814
15:15:24.565515,Read observation...
15:15:24.565637,Sending action and commands
15:15:24.565666,Sent action and commands
15:15:24.565676,Sent action and reading response...
15:15:24.565686,Reading response...
15:15:24.588960,Got response with size 1613814
15:15:24.589058,Read observation...
15:15:24.589271,Sending action and commands
15:15:24.589300,Sent action and commands
15:15:24.589312,Sent action and reading response...
15:15:24.589323,Reading response...
15:15:24.612099,Got response with size 1613814
15:15:24.612268,Read observation...
15:15:24.612578,Sending action and commands
15:15:24.612931,Sent action and commands
15:15:24.612965,Sent action and reading response...
15:15:24.612976,Reading response...
15:15:24.638637,Got response with size 1613814
15:15:24.638757,Read observation...
15:15:24.639058,Sending action and commands
15:15:24.639120,Sent action and commands
15:15:24.639141,Sent action and reading response...
15:15:24.639155,Reading response...
15:15:24.671364,Got response with size 1613814
15:15:24.671543,Read observation...
15:15:24.671726,Sending action and commands
15:15:24.671756,Sent action and commands
15:15:24.671768,Sent action and reading response...
15:15:24.671779,Reading response...
15:15:24.696698,Got response with size 1613814
15:15:24.696788,Read observation...
15:15:24.697038,Sending action and commands
15:15:24.697094,Sent action and commands
15:15:24.697107,Sent action and reading response...
15:15:24.697120,Reading response...
15:15:24.721785,Got response with size 1613814
15:15:24.721888,Read observation...
15:15:24.722083,Sending action and commands
15:15:24.722115,Sent action and commands
15:15:24.722126,Sent action and reading response...
15:15:24.722136,Reading response...
15:15:24.745713,Got response with size 1613814
15:15:24.746184,Read observation...
15:15:24.746445,Sending action and commands
15:15:24.746480,Sent action and commands
15:15:24.746523,Sent action and reading response...
15:15:24.746578,Reading response...
15:15:24.778436,Got response with size 1613814
15:15:24.778547,Read observation...
15:15:24.778711,Sending action and commands
15:15:24.778740,Sent action and commands
15:15:24.778750,Sent action and reading response...
15:15:24.778760,Reading response...
15:15:24.800030,Got response with size 1613814
15:15:24.800116,Read observation...
15:15:24.800258,Sending action and commands
15:15:24.800287,Sent action and commands
15:15:24.800297,Sent action and reading response...
15:15:24.800307,Reading response...
15:15:24.821367,Got response with size 1613814
15:15:24.821454,Read observation...
15:15:24.821620,Sending action and commands
15:15:24.821649,Sent action and commands
15:15:24.821659,Sent action and reading response...
15:15:24.821668,Reading response...
15:15:24.841080,Got response with size 1613814
15:15:24.841228,Read observation...
15:15:24.841353,Sending action and commands
15:15:24.841380,Sent action and commands
15:15:24.841390,Sent action and reading response...
15:15:24.841399,Reading response...
15:15:24.862335,Got response with size 1613814
15:15:24.862426,Read observation...
15:15:24.862598,Sending action and commands
15:15:24.862627,Sent action and commands
15:15:24.862636,Sent action and reading response...
15:15:24.862645,Reading response...
15:15:24.884275,Got response with size 1613814
15:15:24.884372,Read observation...
15:15:24.884564,Sending action and commands
15:15:24.884596,Sent action and commands
15:15:24.884607,Sent action and reading response...
15:15:24.884616,Reading response...
15:15:24.904249,Got response with size 1613814
15:15:24.904326,Read observation...
15:15:24.904550,Sending action and commands
15:15:24.904575,Sent action and commands
15:15:24.904584,Sent action and reading response...
15:15:24.904593,Reading response...
15:15:24.923404,Got response with size 1613814
15:15:24.923497,Read observation...
15:15:24.924095,Sending action and commands
15:15:24.924129,Sent action and commands
15:15:24.924141,Sent action and reading response...
15:15:24.924151,Reading response...
15:15:24.945517,Got response with size 1613814
15:15:24.945618,Read observation...
15:15:25.080328,Sending action and commands
15:15:25.080400,Sent action and commands
15:15:25.080415,Sent action and reading response...
15:15:25.080425,Reading response...
15:15:25.101759,Got response with size 1613814
15:15:25.101866,Read observation...
15:15:25.248319,Sending action and commands
15:15:25.248417,Sent action and commands
15:15:25.248447,Sent action and reading response...
15:15:25.248462,Reading response...
15:15:25.265509,Got response with size 1613814
15:15:25.265611,Read observation...
15:15:25.401220,Sending action and commands
15:15:25.401287,Sent action and commands
15:15:25.401301,Sent action and reading response...
15:15:25.401311,Reading response...
15:15:25.416331,Got response with size 1613814
15:15:25.416400,Read observation...
15:15:25.553645,Sending action and commands
15:15:25.553767,Sent action and commands
15:15:25.553819,Sent action and reading response...
15:15:25.553834,Reading response...
15:15:25.568550,Got response with size 1613814
15:15:25.568633,Read observation...
15:15:25.702933,Sending action and commands
15:15:25.703005,Sent action and commands
15:15:25.703021,Sent action and reading response...
15:15:25.703032,Reading response...
15:15:25.718796,Got response with size 1613814
15:15:25.718911,Read observation...
15:15:25.861424,Sending action and commands
15:15:25.861497,Sent action and commands
15:15:25.861513,Sent action and reading response...
15:15:25.861524,Reading response...
15:15:25.878580,Got response with size 1613814
15:15:25.878687,Read observation...
15:15:26.025065,Sending action and commands
15:15:26.025134,Sent action and commands
15:15:26.025150,Sent action and reading response...
15:15:26.025161,Reading response...
15:15:26.041955,Got response with size 1613814
15:15:26.042064,Read observation...
15:15:26.192207,Sending action and commands
15:15:26.192327,Sent action and commands
15:15:26.192356,Sent action and reading response...
15:15:26.192370,Reading response...
15:15:26.210819,Got response with size 1613814
15:15:26.210906,Read observation...
15:15:26.354596,Sending action and commands
15:15:26.354671,Sent action and commands
15:15:26.354688,Sent action and reading response...
15:15:26.354699,Reading response...
15:15:26.369891,Got response with size 1613814
15:15:26.369974,Read observation...
15:15:26.504409,Sent SIGKILL to process group 6066(pid 6066)
15:15:26.507530,Terminated the java process with exit status 9
15:15:26.507671,Java process exited with code 0
15:15:26.508028,Terminated the java process
15:15:26.512732,No process to terminate
15:15:26.512799,Terminated the java process
15:15:26.512817,No process to terminate
15:15:26.512827,Terminated the java process
